departamento,provincia,distrito,partido,votos
AMAZONAS,BAGUA,IMAZA,Perú Libre,2365
AMAZONAS,BAGUA,IMAZA,Alianza para el Progreso,359
AMAZONAS,BAGUA,LA PECA,Acción Popular,319
AMAZONAS,BAGUA,LA PECA,Avanza Pais,66
AMAZONAS,BAGUA,LA PECA,Podemos Perú,65
AMAZONAS,BAGUA,LA PECA,Renovación Popular,217
AMAZONAS,BAGUA,LA PECA,Somos Perú,30
AMAZONAS,BAGUA,LA PECA,Fuerza Popular,518
AMAZONAS,BAGUA,LA PECA,Perú Libre,700
AMAZONAS,BAGUA,LA PECA,Alianza para el Progreso,260
AMAZONAS,BONGARA,CHISQUILLA,Acción Popular,32
AMAZONAS,BONGARA,CHISQUILLA,Avanza Pais,10
AMAZONAS,BONGARA,CHISQUILLA,Podemos Perú,3
AMAZONAS,BONGARA,CHISQUILLA,Renovación Popular,16
AMAZONAS,BONGARA,CHISQUILLA,Somos Perú,10
AMAZONAS,BONGARA,CHISQUILLA,Fuerza Popular,39
AMAZONAS,BONGARA,CHISQUILLA,Perú Libre,44
AMAZONAS,BONGARA,CHISQUILLA,Alianza para el Progreso,20
AMAZONAS,BONGARA,CHURUJA,Acción Popular,30
AMAZONAS,BONGARA,CHURUJA,Avanza Pais,10
AMAZONAS,BONGARA,CHURUJA,Podemos Perú,7
AMAZONAS,BONGARA,CHURUJA,Renovación Popular,14
AMAZONAS,BONGARA,CHURUJA,Somos Perú,0
AMAZONAS,BONGARA,CHURUJA,Fuerza Popular,36
AMAZONAS,BONGARA,CHURUJA,Perú Libre,35
AMAZONAS,BONGARA,CHURUJA,Alianza para el Progreso,13
AMAZONAS,BONGARA,COROSHA,Acción Popular,24
AMAZONAS,BONGARA,COROSHA,Avanza Pais,5
AMAZONAS,BONGARA,COROSHA,Podemos Perú,3
AMAZONAS,BONGARA,COROSHA,Renovación Popular,16
AMAZONAS,BONGARA,COROSHA,Somos Perú,12
AMAZONAS,BONGARA,COROSHA,Fuerza Popular,34
AMAZONAS,BONGARA,COROSHA,Perú Libre,172
AMAZONAS,BONGARA,COROSHA,Alianza para el Progreso,26
AMAZONAS,BONGARA,CUISPES,Acción Popular,39
AMAZONAS,BONGARA,CUISPES,Avanza Pais,4
AMAZONAS,BONGARA,CUISPES,Podemos Perú,10
AMAZONAS,BONGARA,CUISPES,Renovación Popular,20
AMAZONAS,BONGARA,CUISPES,Somos Perú,6
AMAZONAS,BONGARA,CUISPES,Fuerza Popular,19
AMAZONAS,BONGARA,CUISPES,Perú Libre,71
AMAZONAS,BONGARA,CUISPES,Alianza para el Progreso,18
AMAZONAS,BONGARA,FLORIDA,Acción Popular,125
AMAZONAS,BONGARA,FLORIDA,Avanza Pais,69
AMAZONAS,BONGARA,FLORIDA,Podemos Perú,44
AMAZONAS,BONGARA,FLORIDA,Renovación Popular,105
AMAZONAS,BONGARA,FLORIDA,Somos Perú,12
AMAZONAS,BONGARA,FLORIDA,Fuerza Popular,392
AMAZONAS,BONGARA,FLORIDA,Perú Libre,955
AMAZONAS,BONGARA,FLORIDA,Alianza para el Progreso,98
AMAZONAS,BONGARA,JAZAN,Acción Popular,242
AMAZONAS,BONGARA,JAZAN,Avanza Pais,143
AMAZONAS,BONGARA,JAZAN,Podemos Perú,94
AMAZONAS,BONGARA,JAZAN,Renovación Popular,212
AMAZONAS,BONGARA,JAZAN,Somos Perú,30
AMAZONAS,BONGARA,JAZAN,Fuerza Popular,629
AMAZONAS,BONGARA,JAZAN,Perú Libre,686
AMAZONAS,BONGARA,JAZAN,Alianza para el Progreso,209
AMAZONAS,BONGARA,JUMBILLA,Acción Popular,54
AMAZONAS,BONGARA,JUMBILLA,Avanza Pais,16
AMAZONAS,BONGARA,JUMBILLA,Podemos Perú,2
AMAZONAS,BONGARA,JUMBILLA,Renovación Popular,23
AMAZONAS,BONGARA,JUMBILLA,Somos Perú,7
AMAZONAS,BONGARA,JUMBILLA,Fuerza Popular,47
AMAZONAS,BONGARA,JUMBILLA,Perú Libre,101
AMAZONAS,BONGARA,JUMBILLA,Alianza para el Progreso,15
AMAZONAS,BONGARA,RECTA,Acción Popular,24
AMAZONAS,BONGARA,RECTA,Avanza Pais,5
AMAZONAS,BONGARA,RECTA,Podemos Perú,4
AMAZONAS,BONGARA,RECTA,Renovación Popular,7
AMAZONAS,BONGARA,RECTA,Somos Perú,3
AMAZONAS,BONGARA,RECTA,Fuerza Popular,20
AMAZONAS,BONGARA,RECTA,Perú Libre,22
AMAZONAS,BONGARA,RECTA,Alianza para el Progreso,8
AMAZONAS,BONGARA,SAN CARLOS,Acción Popular,22
AMAZONAS,BONGARA,SAN CARLOS,Avanza Pais,7
AMAZONAS,BONGARA,SAN CARLOS,Podemos Perú,8
AMAZONAS,BONGARA,SAN CARLOS,Renovación Popular,19
AMAZONAS,BONGARA,SAN CARLOS,Somos Perú,2
AMAZONAS,BONGARA,SAN CARLOS,Fuerza Popular,27
AMAZONAS,BONGARA,SAN CARLOS,Perú Libre,62
AMAZONAS,BONGARA,SAN CARLOS,Alianza para el Progreso,33
AMAZONAS,BONGARA,SHIPASBAMBA,Acción Popular,52
AMAZONAS,BONGARA,SHIPASBAMBA,Avanza Pais,23
AMAZONAS,BONGARA,SHIPASBAMBA,Podemos Perú,23
AMAZONAS,BONGARA,SHIPASBAMBA,Renovación Popular,24
AMAZONAS,BONGARA,SHIPASBAMBA,Somos Perú,6
AMAZONAS,BONGARA,SHIPASBAMBA,Fuerza Popular,74
AMAZONAS,BONGARA,SHIPASBAMBA,Perú Libre,205
AMAZONAS,BONGARA,SHIPASBAMBA,Alianza para el Progreso,26
AMAZONAS,BONGARA,VALERA,Acción Popular,34
AMAZONAS,BONGARA,VALERA,Avanza Pais,10
AMAZONAS,BONGARA,VALERA,Podemos Perú,14
AMAZONAS,BONGARA,VALERA,Renovación Popular,34
AMAZONAS,BONGARA,VALERA,Somos Perú,3
AMAZONAS,BONGARA,VALERA,Fuerza Popular,119
AMAZONAS,BONGARA,VALERA,Perú Libre,59
AMAZONAS,BONGARA,VALERA,Alianza para el Progreso,47
AMAZONAS,BONGARA,YAMBRASBAMBA,Acción Popular,198
AMAZONAS,BONGARA,YAMBRASBAMBA,Avanza Pais,52
AMAZONAS,BONGARA,YAMBRASBAMBA,Podemos Perú,22
AMAZONAS,BONGARA,YAMBRASBAMBA,Renovación Popular,97
AMAZONAS,BONGARA,YAMBRASBAMBA,Somos Perú,22
AMAZONAS,BONGARA,YAMBRASBAMBA,Fuerza Popular,307
AMAZONAS,BONGARA,YAMBRASBAMBA,Perú Libre,842
AMAZONAS,BONGARA,YAMBRASBAMBA,Alianza para el Progreso,110
AMAZONAS,CHACHAPOYAS,ASUNCION,Acción Popular,17
AMAZONAS,CHACHAPOYAS,ASUNCION,Avanza Pais,1
AMAZONAS,CHACHAPOYAS,ASUNCION,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,ASUNCION,Renovación Popular,6
AMAZONAS,CHACHAPOYAS,ASUNCION,Somos Perú,3
AMAZONAS,CHACHAPOYAS,ASUNCION,Fuerza Popular,6
AMAZONAS,CHACHAPOYAS,ASUNCION,Perú Libre,14
AMAZONAS,CHACHAPOYAS,ASUNCION,Alianza para el Progreso,8
AMAZONAS,CHACHAPOYAS,BALSAS,Acción Popular,52
AMAZONAS,CHACHAPOYAS,BALSAS,Avanza Pais,4
AMAZONAS,CHACHAPOYAS,BALSAS,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,BALSAS,Renovación Popular,21
AMAZONAS,CHACHAPOYAS,BALSAS,Somos Perú,10
AMAZONAS,CHACHAPOYAS,BALSAS,Fuerza Popular,49
AMAZONAS,CHACHAPOYAS,BALSAS,Perú Libre,117
AMAZONAS,CHACHAPOYAS,BALSAS,Alianza para el Progreso,25
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Acción Popular,1338
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Avanza Pais,1132
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Podemos Perú,333
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Renovación Popular,1225
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Somos Perú,213
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Fuerza Popular,1222
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Perú Libre,1695
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Alianza para el Progreso,1009
AMAZONAS,CHACHAPOYAS,CHETO,Acción Popular,47
AMAZONAS,CHACHAPOYAS,CHETO,Avanza Pais,14
AMAZONAS,CHACHAPOYAS,CHETO,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,CHETO,Renovación Popular,26
AMAZONAS,CHACHAPOYAS,CHETO,Somos Perú,1
AMAZONAS,CHACHAPOYAS,CHETO,Fuerza Popular,29
AMAZONAS,CHACHAPOYAS,CHETO,Perú Libre,44
AMAZONAS,CHACHAPOYAS,CHETO,Alianza para el Progreso,32
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Acción Popular,28
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Avanza Pais,3
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Renovación Popular,6
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Somos Perú,0
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Fuerza Popular,88
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Perú Libre,41
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Alianza para el Progreso,12
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Acción Popular,54
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Avanza Pais,1
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Renovación Popular,13
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Somos Perú,6
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Fuerza Popular,125
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Perú Libre,60
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Alianza para el Progreso,35
AMAZONAS,CHACHAPOYAS,GRANADA,Acción Popular,18
AMAZONAS,CHACHAPOYAS,GRANADA,Avanza Pais,8
AMAZONAS,CHACHAPOYAS,GRANADA,Podemos Perú,0
AMAZONAS,CHACHAPOYAS,GRANADA,Renovación Popular,17
AMAZONAS,CHACHAPOYAS,GRANADA,Somos Perú,2
AMAZONAS,CHACHAPOYAS,GRANADA,Fuerza Popular,39
AMAZONAS,CHACHAPOYAS,GRANADA,Perú Libre,79
AMAZONAS,CHACHAPOYAS,GRANADA,Alianza para el Progreso,14
AMAZONAS,CHACHAPOYAS,HUANCAS,Acción Popular,30
AMAZONAS,CHACHAPOYAS,HUANCAS,Avanza Pais,2
AMAZONAS,CHACHAPOYAS,HUANCAS,Podemos Perú,5
AMAZONAS,CHACHAPOYAS,HUANCAS,Renovación Popular,15
AMAZONAS,CHACHAPOYAS,HUANCAS,Somos Perú,2
AMAZONAS,CHACHAPOYAS,HUANCAS,Fuerza Popular,35
AMAZONAS,CHACHAPOYAS,HUANCAS,Perú Libre,54
AMAZONAS,CHACHAPOYAS,HUANCAS,Alianza para el Progreso,16
AMAZONAS,CHACHAPOYAS,LA JALCA,Acción Popular,168
AMAZONAS,CHACHAPOYAS,LA JALCA,Avanza Pais,36
AMAZONAS,CHACHAPOYAS,LA JALCA,Podemos Perú,38
AMAZONAS,CHACHAPOYAS,LA JALCA,Renovación Popular,75
AMAZONAS,CHACHAPOYAS,LA JALCA,Somos Perú,26
AMAZONAS,CHACHAPOYAS,LA JALCA,Fuerza Popular,107
AMAZONAS,CHACHAPOYAS,LA JALCA,Perú Libre,564
AMAZONAS,CHACHAPOYAS,LA JALCA,Alianza para el Progreso,173
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Acción Popular,178
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Avanza Pais,82
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Podemos Perú,22
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Renovación Popular,96
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Somos Perú,48
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Fuerza Popular,148
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Perú Libre,215
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Alianza para el Progreso,96
AMAZONAS,CHACHAPOYAS,LEVANTO,Acción Popular,33
AMAZONAS,CHACHAPOYAS,LEVANTO,Avanza Pais,30
AMAZONAS,CHACHAPOYAS,LEVANTO,Podemos Perú,13
AMAZONAS,CHACHAPOYAS,LEVANTO,Renovación Popular,27
AMAZONAS,CHACHAPOYAS,LEVANTO,Somos Perú,4
AMAZONAS,CHACHAPOYAS,LEVANTO,Fuerza Popular,110
AMAZONAS,CHACHAPOYAS,LEVANTO,Perú Libre,125
AMAZONAS,CHACHAPOYAS,LEVANTO,Alianza para el Progreso,38
AMAZONAS,CHACHAPOYAS,MAGDALENA,Acción Popular,45
AMAZONAS,CHACHAPOYAS,MAGDALENA,Avanza Pais,26
AMAZONAS,CHACHAPOYAS,MAGDALENA,Podemos Perú,3
AMAZONAS,CHACHAPOYAS,MAGDALENA,Renovación Popular,56
AMAZONAS,CHACHAPOYAS,MAGDALENA,Somos Perú,5
AMAZONAS,CHACHAPOYAS,MAGDALENA,Fuerza Popular,45
AMAZONAS,CHACHAPOYAS,MAGDALENA,Perú Libre,49
AMAZONAS,CHACHAPOYAS,MAGDALENA,Alianza para el Progreso,37
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Acción Popular,56
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Avanza Pais,12
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Renovación Popular,15
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Somos Perú,5
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Fuerza Popular,75
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Perú Libre,79
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Alianza para el Progreso,24
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Acción Popular,118
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Avanza Pais,60
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Podemos Perú,22
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Renovación Popular,77
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Somos Perú,14
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Fuerza Popular,135
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Perú Libre,240
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Alianza para el Progreso,55
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Acción Popular,34
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Avanza Pais,7
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Renovación Popular,18
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Somos Perú,5
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Fuerza Popular,29
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Perú Libre,51
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Alianza para el Progreso,30
AMAZONAS,CHACHAPOYAS,OLLEROS,Acción Popular,43
AMAZONAS,CHACHAPOYAS,OLLEROS,Avanza Pais,21
AMAZONAS,CHACHAPOYAS,OLLEROS,Podemos Perú,0
AMAZONAS,CHACHAPOYAS,OLLEROS,Renovación Popular,10
AMAZONAS,CHACHAPOYAS,OLLEROS,Somos Perú,3
AMAZONAS,CHACHAPOYAS,OLLEROS,Fuerza Popular,23
AMAZONAS,CHACHAPOYAS,OLLEROS,Perú Libre,30
AMAZONAS,CHACHAPOYAS,OLLEROS,Alianza para el Progreso,10
AMAZONAS,CHACHAPOYAS,QUINJALCA,Acción Popular,51
AMAZONAS,CHACHAPOYAS,QUINJALCA,Avanza Pais,9
AMAZONAS,CHACHAPOYAS,QUINJALCA,Podemos Perú,4
AMAZONAS,CHACHAPOYAS,QUINJALCA,Renovación Popular,13
AMAZONAS,CHACHAPOYAS,QUINJALCA,Somos Perú,2
AMAZONAS,CHACHAPOYAS,QUINJALCA,Fuerza Popular,9
AMAZONAS,CHACHAPOYAS,QUINJALCA,Perú Libre,34
AMAZONAS,CHACHAPOYAS,QUINJALCA,Alianza para el Progreso,15
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Acción Popular,13
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Avanza Pais,20
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Podemos Perú,2
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Renovación Popular,10
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Somos Perú,2
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Fuerza Popular,22
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Perú Libre,25
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Alianza para el Progreso,10
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Acción Popular,73
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Avanza Pais,16
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Podemos Perú,1
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Renovación Popular,9
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Somos Perú,4
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Fuerza Popular,50
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Perú Libre,37
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Alianza para el Progreso,7
AMAZONAS,CHACHAPOYAS,SOLOCO,Acción Popular,64
AMAZONAS,CHACHAPOYAS,SOLOCO,Avanza Pais,27
AMAZONAS,CHACHAPOYAS,SOLOCO,Podemos Perú,5
AMAZONAS,CHACHAPOYAS,SOLOCO,Renovación Popular,42
AMAZONAS,CHACHAPOYAS,SOLOCO,Somos Perú,3
AMAZONAS,CHACHAPOYAS,SOLOCO,Fuerza Popular,78
AMAZONAS,CHACHAPOYAS,SOLOCO,Perú Libre,80
AMAZONAS,CHACHAPOYAS,SOLOCO,Alianza para el Progreso,56
AMAZONAS,CHACHAPOYAS,SONCHE,Acción Popular,20
AMAZONAS,CHACHAPOYAS,SONCHE,Avanza Pais,1
AMAZONAS,CHACHAPOYAS,SONCHE,Podemos Perú,6
AMAZONAS,CHACHAPOYAS,SONCHE,Renovación Popular,8
AMAZONAS,CHACHAPOYAS,SONCHE,Somos Perú,1
AMAZONAS,CHACHAPOYAS,SONCHE,Fuerza Popular,29
AMAZONAS,CHACHAPOYAS,SONCHE,Perú Libre,11
AMAZONAS,CHACHAPOYAS,SONCHE,Alianza para el Progreso,13
AMAZONAS,CONDORCANQUI,EL CENEPA,Acción Popular,54
AMAZONAS,CONDORCANQUI,EL CENEPA,Avanza Pais,9
AMAZONAS,CONDORCANQUI,EL CENEPA,Podemos Perú,292
AMAZONAS,CONDORCANQUI,EL CENEPA,Renovación Popular,71
AMAZONAS,CONDORCANQUI,EL CENEPA,Somos Perú,1
AMAZONAS,CONDORCANQUI,EL CENEPA,Fuerza Popular,22
AMAZONAS,CONDORCANQUI,EL CENEPA,Perú Libre,404
AMAZONAS,CONDORCANQUI,EL CENEPA,Alianza para el Progreso,22
AMAZONAS,CONDORCANQUI,NIEVA,Acción Popular,131
AMAZONAS,CONDORCANQUI,NIEVA,Avanza Pais,77
AMAZONAS,CONDORCANQUI,NIEVA,Podemos Perú,404
AMAZONAS,CONDORCANQUI,NIEVA,Renovación Popular,170
AMAZONAS,CONDORCANQUI,NIEVA,Somos Perú,9
AMAZONAS,CONDORCANQUI,NIEVA,Fuerza Popular,342
AMAZONAS,CONDORCANQUI,NIEVA,Perú Libre,915
AMAZONAS,CONDORCANQUI,NIEVA,Alianza para el Progreso,307
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Acción Popular,110
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Avanza Pais,17
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Podemos Perú,81
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Renovación Popular,103
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Somos Perú,6
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Fuerza Popular,98
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Perú Libre,160
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Alianza para el Progreso,72
AMAZONAS,LUYA,CAMPORREDONDO,Acción Popular,153
AMAZONAS,LUYA,CAMPORREDONDO,Avanza Pais,36
AMAZONAS,LUYA,CAMPORREDONDO,Podemos Perú,18
AMAZONAS,LUYA,CAMPORREDONDO,Renovación Popular,58
AMAZONAS,LUYA,CAMPORREDONDO,Somos Perú,49
AMAZONAS,LUYA,CAMPORREDONDO,Fuerza Popular,217
AMAZONAS,LUYA,CAMPORREDONDO,Perú Libre,1120
AMAZONAS,LUYA,CAMPORREDONDO,Alianza para el Progreso,238
AMAZONAS,LUYA,COCABAMBA,Acción Popular,34
AMAZONAS,LUYA,COCABAMBA,Avanza Pais,11
AMAZONAS,LUYA,COCABAMBA,Podemos Perú,7
AMAZONAS,LUYA,COCABAMBA,Renovación Popular,6
AMAZONAS,LUYA,COCABAMBA,Somos Perú,11
AMAZONAS,LUYA,COCABAMBA,Fuerza Popular,56
AMAZONAS,LUYA,COCABAMBA,Perú Libre,55
AMAZONAS,LUYA,COCABAMBA,Alianza para el Progreso,22
AMAZONAS,LUYA,COLCAMAR,Acción Popular,75
AMAZONAS,LUYA,COLCAMAR,Avanza Pais,22
AMAZONAS,LUYA,COLCAMAR,Podemos Perú,14
AMAZONAS,LUYA,COLCAMAR,Renovación Popular,38
AMAZONAS,LUYA,COLCAMAR,Somos Perú,13
AMAZONAS,LUYA,COLCAMAR,Fuerza Popular,107
AMAZONAS,LUYA,COLCAMAR,Perú Libre,101
